Numéro_incident,Date_appel,Heure_appel,Type_appel,Quartier,Commune,Type_incident,Indicateur_santé_mentale,Nombre_unités_déployées,Temps_réponse (minutes),Heure_arrivée,Clôture_appel,Jour,Conclusion_appel,Rapport_rédigé
256047368,2025-05-11,14:51:05,Appel 112, Béniglato,Golfe 4,Vol,Oui,3,408,21:39:05,21:59:05,dimanche,Transfert hôpital,Non
259514936,2025-05-04,18:30:16,Appel 112, Bè-Ahligo,Golfe 1,Accident moto,Oui,2,444,01:54:16,02:49:16,dimanche,Transmis au CB,Non
255139842,2025-06-29,03:44:08,Appel 112, Assivito,Golfe 4,Dispute familiale,Oui,2,153,06:17:08,06:46:08,dimanche,Transfert hôpital,Non
251821526,2025-06-12,06:09:57,Appel 117, Bè-Kpota,Golfe 1,Bagarre,Non,3,45,06:54:57,07:36:57,jeudi,Arrestation,Oui
259601685,2025-07-19,07:17:32,Appel 117, Avinato,Agoe-Nyivé 2,Tapage nocturne,Non,1,548,16:25:32,17:12:32,samedi,Transmis au CB,Non
259094134,2025-06-07,20:00:46,appel 117, Logogomé,Agoe-Nyivé 3,Accident moto,Oui,2,526,04:46:46,05:28:46,samedi,Aucun suivi,Oui
252551222,2025-06-04,00:57:57,Appel 117, Kélégougan ,Golfe 1,Bagarre,Oui,1,202,04:19:57,05:18:57,mercredi,Aucun suivi,Non
259778550,2025-07-26,18:13:31,APP117, Nanégbé,Agoe-Nyivé 5,Bagarre,Oui,4,310,23:23:31,23:55:31,samedi,Transfert hôpital,Non
255332456,2025-05-15,07:05:54,appel117, Avépozo,Golfe 6,Vol,Non,4,29,07:34:54,08:26:54,jeudi,Aucun suivi,Oui
254101675,2025-07-02,06:14:10,appel117, Lom-nava,Golfe 4,Accident moto,Oui,2,372,12:26:10,12:54:10,mercredi,Aucun suivi,Non
255615237,2025-06-05,14:48:20,Appel 112, Assivito,Golfe 4,Accident moto,Non,4,352,20:40:20,20:57:20,jeudi,Transfert hôpital,Oui
259404970,2025-07-20,12:09:46,117, Sagbado ,Golfe 7,Vol,Oui,1,160,14:49:46,15:35:46,dimanche,Transfert hôpital,Non
254281751,2025-06-14,05:42:21,Appel 112, Hanoukopé,Golfe 4,Accident moto,Oui,1,352,11:34:21,11:43:21,samedi,Arrestation,Non
259183527,2025-06-24,13:43:35,117,Alinka,Agoe-Nyivé 4,Violence conjugale,Non,1,129,15:52:35,16:08:35,mardi,Aucun suivi,Non
258904799,2025-05-28,20:16:32,appel 117, Sanguéra,Agoe-Nyivé 5,Dispute familiale,Non,2,294,01:10:32,01:21:32,mercredi,Transmis au CB,Non
255704117,2025-07-11,22:02:17,Appel 112, Amadahomé,Golfe 5,Violence conjugale,Non,4,532,06:54:17,07:24:17,vendredi,Transfert hôpital,Oui
258253604,2025-06-08,09:42:34,Appel 112, Lankouvi ,Golfe 7,Dispute familiale,Non,1,115,11:37:34,12:02:34,dimanche,Transfert hôpital,Oui
255551327,2025-07-30,20:22:50,appel 117, Kohé,Agoe-Nyivé 5,Accident moto,Non,3,150,22:52:50,23:13:50,mercredi,Transfert hôpital,Non
255164763,2025-05-11,16:30:00,Appel 117, Dalime,Agoe-Nyivé 2,Bagarre,Non,2,386,22:56:00,23:32:00,dimanche,Aucun suivi,Oui
252551166,2025-07-29,05:31:45,Appel 117, Klobatème,Golfe 1,Violence conjugale,Oui,2,129,07:40:45,07:45:45,mardi,Transfert hôpital,Non
259973695,2025-07-26,20:33:14,Initiative agent, Démakpoè,Agoe-Nyivé 1,Tapage nocturne,Oui,2,514,05:07:14,05:15:14,samedi,Arrestation,Non
255658902,2025-07-06,17:05:34,117, Bè-Ahligo,Golfe 1,Vol,Non,2,147,19:32:34,20:10:34,dimanche,Aucun suivi,Oui
257933680,2025-05-09,03:24:35,Appel 117, Bè-Kpota,Golfe 1,Tapage nocturne,Oui,2,578,13:02:35,13:46:35,vendredi,Aucun suivi,Non
253749351,2025-05-20,23:56:39,Initiative agent,Dégomé,Agoe-Nyivé 4,Accident moto,Oui,1,550,09:06:39,09:40:39,mardi,Transfert hôpital,Oui
254477211,2025-05-24,21:47:10,Initiative agent, Assivito,Golfe 4,Vol,Oui,2,470,05:37:10,05:55:10,samedi,Aucun suivi,Oui
251919649,2025-05-19,14:19:52,Appel 112, Bè-Anfamé,Golfe 1,Vol,Oui,2,313,19:32:52,19:44:52,lundi,Transmis au CB,Oui
251305286,2025-05-02,23:45:02,Appel 112,Hossoukopé,Agoe-Nyivé 3,Accident moto,Non,3,479,07:44:02,08:12:02,vendredi,Arrestation,Oui
254658852,2025-07-05,14:21:55,Appel 117, Sagbado ,Golfe 7,Accident moto,Oui,4,168,17:09:55,17:15:55,samedi,Arrestation,Non
253356702,2025-06-27,15:25:35,117, Baguida.,Golfe 6,Accident moto,Oui,2,221,19:06:35,19:45:35,vendredi,Transmis au CB,Oui
258849972,2025-07-07,02:02:02,appel 117,Kotokoli-Zongo,Agoe-Nyivé 4,Accident moto,Oui,1,227,05:49:02,06:41:02,lundi,Aucun suivi,Oui
256624231,2025-06-02,21:37:31,Initiative agent, Tokoin Tamé,Golfe 2,Tapage nocturne,Oui,3,515,06:12:31,06:55:31,lundi,Transfert hôpital,Oui
258451518,2025-07-29,21:05:46,appel 117, Hédzranawoé ,Golfe 2,Violence conjugale,Oui,2,568,06:33:46,07:24:46,mardi,Transmis au CB,Non
254134717,2025-07-02,15:12:28,appel117, Madjikpeto,Agoe-Nyivé 2,Tapage nocturne,Oui,4,416,22:08:28,23:03:28,mercredi,Aucun suivi,Oui
254263020,2025-06-30,15:03:50,appel 117, Klémé,Agoe-Nyivé 5,Violence conjugale,Oui,3,440,22:23:50,23:16:50,lundi,Aucun suivi,Non
255637290,2025-07-10,06:04:11,Appel 117, Béniglato,Golfe 4,Accident moto,Non,1,354,11:58:11,12:44:11,jeudi,Aucun suivi,Non
259642954,2025-05-27,18:59:04,Appel 117,Aviation,Golfe 2,Accident moto,Oui,1,180,21:59:04,22:08:04,mardi,Arrestation,Non
254408630,2025-06-24,02:20:02,APP117, Nyékonakpoè,Golfe 4,Tapage nocturne,Non,4,144,04:44:02,05:14:02,mardi,Transfert hôpital,Oui
252483051,2025-05-10,20:34:59,appel 117, Lomenyokope,Agoe-Nyivé 6,Violence conjugale,Non,1,520,05:14:59,06:12:59,samedi,Arrestation,Non
253708182,2025-06-18,13:56:01,Appel 112,Alinka,Agoe-Nyivé 4,Vol,Oui,3,594,23:50:01,00:32:01,mercredi,Aucun suivi,Oui
252466837,2025-06-27,10:55:14,Initiative agent,Togblékopé,Agoe-Nyivé 4,Dispute familiale,Non,1,558,20:13:14,20:34:14,vendredi,Transfert hôpital,Oui
252101052,2025-05-04,17:37:47,appel 117, Adougba,Agoe-Nyivé 1,Violence conjugale,Oui,3,172,20:29:47,21:07:47,dimanche,Aucun suivi,Oui
259452684,2025-05-10,02:18:14,appel117,Gbadago,Golfe 4,Tapage nocturne,Oui,3,338,07:56:14,08:56:14,samedi,Transfert hôpital,Non
258298889,2025-06-09,00:03:00,Initiative agent, Klobatème,Golfe 1,Accident moto,Non,4,502,08:25:00,08:45:00,lundi,Arrestation,Non
255966248,2025-05-05,23:54:32,117, Yokoè,Golfe 7,Bagarre,Non,3,402,06:36:32,07:11:32,lundi,Aucun suivi,Oui
259533741,2025-07-06,20:34:42,Appel 117, Baguida.,Golfe 6,Dispute familiale,Non,2,181,23:35:42,23:45:42,dimanche,Arrestation,Non
256072501,2025-06-25,01:30:53,Appel 112, Sogbossito,Agoe-Nyivé 1,Accident moto,Oui,4,204,04:54:53,05:01:53,mercredi,Transmis au CB,Oui
258723333,2025-06-13,09:54:14,APP117,Atiégouvi,Golfe 2,Tapage nocturne,Oui,3,275,14:29:14,14:56:14,vendredi,Arrestation,Non
259613900,2025-07-19,13:35:43,117,Tokoin Lycée  ,Golfe 3,Bagarre,Non,2,355,19:30:43,19:35:43,samedi,Transfert hôpital,Oui
254371049,2025-06-06,08:38:12,appel117,Haoussa-Zongo,Agoe-Nyivé 4,Violence conjugale,Oui,4,71,09:49:12,10:05:12,vendredi,Transfert hôpital,Oui
255295467,2025-06-01,01:53:41,117,  Atsanvé,Agoe-Nyivé 1,Accident moto,Oui,1,128,04:01:41,04:25:41,dimanche,Transmis au CB,Oui
253126478,2025-07-23,20:24:20,appel117,Haoussa-Zongo,Agoe-Nyivé 4,Dispute familiale,Non,1,393,02:57:20,03:24:20,mercredi,Transfert hôpital,Non
259648102,2025-05-15,12:49:28,Appel 112, Danliko.,Agoe-Nyivé 2,Vol,Oui,2,88,14:17:28,14:53:28,jeudi,Transmis au CB,Oui
256939299,2025-07-11,00:54:14,Appel 117,Wuiti,Golfe 2,Accident moto,Non,2,323,06:17:14,06:23:14,vendredi,Transfert hôpital,Non
252164201,2025-06-24,13:05:47,APP117,  Segbe ,Golfe 7,Dispute familiale,Oui,1,509,21:34:47,22:29:47,mardi,Transfert hôpital,Non
256111171,2025-05-18,22:07:05,Appel 112, Lom-nava,Golfe 4,Bagarre,Non,4,107,23:54:05,00:40:05,dimanche,Transfert hôpital,Non
253996945,2025-07-15,09:54:04,appel 117, Kélégouvi ,Golfe 3,Vol,Non,4,471,17:45:04,17:55:04,mardi,Arrestation,Oui
255433462,2025-07-15,19:47:40,Initiative agent, Tonoukouti,Agoe-Nyivé 6,Tapage nocturne,Oui,1,297,00:44:40,01:09:40,mardi,Transmis au CB,Non
256385261,2025-07-19,08:43:48,Appel 112,Klévé,Agoe-Nyivé 3,Dispute familiale,Non,1,286,13:29:48,14:27:48,samedi,Aucun suivi,Oui
253699159,2025-05-06,18:32:20,Appel 112,Bè-Ablogamé,Golfe 1,Vol,Non,3,510,03:02:20,04:01:20,mardi,Transmis au CB,Non
252851353,2025-06-04,17:38:37,appel117,Legbassito,Agoe-Nyivé 2,Dispute familiale,Oui,2,378,23:56:37,00:30:37,mercredi,Aucun suivi,Oui
252999429,2025-07-11,11:46:09,Appel 112, Dalime,Agoe-Nyivé 2,Bagarre,Oui,4,544,20:50:09,21:09:09,vendredi,Transmis au CB,Non
257623538,2025-07-20,12:45:43,Appel 112, Zossimé,Agoe-Nyivé 5,Bagarre,Non,4,425,19:50:43,20:17:43,dimanche,Arrestation,Oui
253308296,2025-05-11,12:53:05,appel 117,Bè-Attiégou,Golfe 1,Tapage nocturne,Non,2,355,18:48:05,19:44:05,dimanche,Aucun suivi,Non
256346135,2025-06-01,06:22:57,Initiative agent,Klévé,Agoe-Nyivé 3,Bagarre,Non,1,286,11:08:57,11:40:57,dimanche,Arrestation,Oui
254558612,2025-05-21,03:11:37,appel117, Lomenyokope,Agoe-Nyivé 6,Vol,Non,3,50,04:01:37,04:30:37,mercredi,Transfert hôpital,Oui
251531129,2025-07-21,00:12:25,Initiative agent, Zogbegan,Agoe-Nyivé 4,Accident moto,Non,2,456,07:48:25,08:10:25,lundi,Arrestation,Oui
251307374,2025-07-20,05:18:20,Initiative agent,Tokoin-Gbonvié ,Golfe 3,Violence conjugale,Oui,4,112,07:10:20,07:26:20,dimanche,Aucun suivi,Non
259269195,2025-07-13,17:27:10,Appel 112, Assivito,Golfe 4,Tapage nocturne,Oui,4,235,21:22:10,21:48:10,dimanche,Transmis au CB,Oui
258084232,2025-07-10,22:24:03,Appel 112,Dégomé,Agoe-Nyivé 4,Accident moto,Non,2,299,03:23:03,03:42:03,jeudi,Transfert hôpital,Non
252513657,2025-06-10,18:41:40,appel117,Togblékopé,Agoe-Nyivé 4,Tapage nocturne,Non,1,118,20:39:40,21:38:40,mardi,Transfert hôpital,Oui
254281388,2025-05-25,17:25:15,Appel 117, Béniglato,Golfe 4,Dispute familiale,Oui,4,120,19:25:15,20:15:15,dimanche,Aucun suivi,Non
253307670,2025-05-20,03:15:20,117, Dalime,Agoe-Nyivé 2,Bagarre,Non,2,486,11:21:20,11:52:20,mardi,Transmis au CB,Oui
258105312,2025-07-17,04:10:17,appel 117, Adougba,Agoe-Nyivé 1,Vol,Non,4,522,12:52:17,13:23:17,jeudi,Arrestation,Oui
258311008,2025-06-19,17:17:24,Initiative agent, Baguida.,Golfe 6,Dispute familiale,Oui,2,225,21:02:24,21:27:24,jeudi,Transfert hôpital,Oui
254721036,2025-07-19,00:27:16,appel 117,Bè-Ablogamé,Golfe 1,Vol,Oui,2,257,04:44:16,05:19:16,samedi,Arrestation,Non
255499217,2025-05-30,13:51:42,117, Kélégouvi ,Golfe 3,Accident moto,Oui,2,481,21:52:42,22:11:42,vendredi,Aucun suivi,Non
258586568,2025-07-03,21:52:52,Appel 117,Gbadago,Golfe 4,Dispute familiale,Non,1,415,04:47:52,04:52:52,jeudi,Transmis au CB,Oui
255707799,2025-07-28,06:25:21,Initiative agent, Doumasséssé ,Golfe 3,Vol,Non,2,173,09:18:21,09:45:21,lundi,Arrestation,Oui
253924898,2025-06-24,04:47:22,Initiative agent,Bè-Ablogamé,Golfe 1,Accident moto,Oui,2,333,10:20:22,10:52:22,mardi,Transfert hôpital,Non
251485548,2025-05-08,12:41:25,Appel 117, Soviépé,Golfe 5,Dispute familiale,Oui,1,55,13:36:25,13:54:25,jeudi,Transfert hôpital,Non
257044176,2025-05-27,17:16:25,APP117, Soviépé,Golfe 5,Tapage nocturne,Non,4,442,00:38:25,01:02:25,mardi,Aucun suivi,Oui
253607542,2025-07-04,09:29:55,Appel 112, Kodjoviakopé,Golfe 4,Accident moto,Non,1,302,14:31:55,15:06:55,vendredi,Transmis au CB,Oui
259291749,2025-06-22,07:07:47,Appel 112, Avépozo,Golfe 6,Bagarre,Oui,1,26,07:33:47,08:33:47,dimanche,Aucun suivi,Non
251316232,2025-06-04,04:30:20,Appel 117, Kladzeme,Agoe-Nyivé 6,Violence conjugale,Non,4,93,06:03:20,06:26:20,mercredi,Transfert hôpital,Non
251263590,2025-06-29,00:38:34,appel 117, Bè-Ahligo,Golfe 1,Accident moto,Non,1,378,06:56:34,07:44:34,dimanche,Transmis au CB,Non
255727829,2025-07-07,14:36:32,appel 117, Lom-nava,Golfe 4,Dispute familiale,Non,2,153,17:09:32,17:52:32,lundi,Transmis au CB,Non
257677155,2025-05-12,18:10:04,appel117, Lom-nava,Golfe 4,Tapage nocturne,Oui,4,157,20:47:04,20:55:04,lundi,Aucun suivi,Non
255235260,2025-06-28,03:15:54,appel117, Tonoukouti,Agoe-Nyivé 6,Violence conjugale,Oui,3,190,06:25:54,07:19:54,samedi,Aucun suivi,Oui
254502116,2025-06-12,07:00:48,Appel 112, Soviépé,Golfe 5,Tapage nocturne,Non,3,479,14:59:48,15:17:48,jeudi,Arrestation,Non
257115962,2025-06-02,04:49:49,appel117, Bè-Anfamé,Golfe 1,Dispute familiale,Non,4,492,13:01:49,13:18:49,lundi,Aucun suivi,Non
254925108,2025-06-23,19:03:57,117, Danliko.,Agoe-Nyivé 2,Violence conjugale,Non,4,136,21:19:57,21:31:57,lundi,Transfert hôpital,Non
257015757,2025-06-21,07:27:43,Appel 117, Awoudja,Agoe-Nyivé 3,Violence conjugale,Oui,3,535,16:22:43,17:08:43,samedi,Arrestation,Oui
251517372,2025-05-09,23:15:50,Initiative agent,Kotokoli-Zongo,Agoe-Nyivé 4,Tapage nocturne,Non,1,322,04:37:50,05:31:50,vendredi,Transmis au CB,Non
252286036,2025-07-23,01:48:23,appel 117, Nyékonakpoè,Golfe 4,Bagarre,Non,3,317,07:05:23,07:25:23,mercredi,Transfert hôpital,Non
258501662,2025-05-07,04:15:48,APP117, Nyékonakpoè,Golfe 4,Tapage nocturne,Oui,4,530,13:05:48,13:52:48,mercredi,Arrestation,Oui
254547232,2025-06-04,04:58:30,Appel 117,Gbadago,Golfe 4,Bagarre,Non,2,117,06:55:30,07:17:30,mercredi,Aucun suivi,Oui
